,material_name,formula,class,âˆ’Î”Sm(H = 2T) (J kgâÅ»Â_ KâÅ»Â_),âˆ’Î”Sm(H = 5T) (J kgâÅ»Â_ KâÅ»Â_),Curie temperature (K),energy of spin-polarization (eV/atom),"magnetic deformation (Î£m), %",magnetic volume change (%),largest local moment (ÂµB),element carrying largest moment,theoretical density (g/cmÂ_),gravimetric moment (emu/g),volumetric moment (emu/cmÂ_),moment per atom (ÂµB/atom),source (experimental),cid
32,Sr2CrReO6,Sr2CrReO6,double perovskite,,,620,0.074264546,0.305557181,1.591915738,1.137,Re,6.955359706,10.84941691,75.46159724,0.09896368,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",32
33,Sr2CrWO6,Sr2CrWO6,double perovskite,,,458,0.073899449,0.252335145,1.314033003,2.291,Cr,6.857959385,22.04154481,151.1600191,0.20011927,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",33
34,Sr2FeReO6,Sr2FeReO6,double perovskite,,,400,0.099993467,1.15641154,6.068672706,3.707,Fe,6.729822789,32.67720034,219.9117675,0.30031921,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",34
35,La2MnCoO6,La2MnCoO6,double perovskite,,,230,0.148700341,0.690116464,3.581680613,2.9,Mn,6.81984549,68.69391925,468.4819154,0.599830875,"<a href=""http://dx.doi.org/10.1088/1742-6596/325/1/012007"">http://dx.doi.org/10.1088/1742-6596/325/1/012007</a>",35
36,CdCr2S4,CdCr2S4,ferromagnetic spinel,,,86,0.380929589,1.247411532,6.551265763,2.945,Cr,4.188202704,97.22810156,407.2109978,0.857167121,"<a href=""http://dx.doi.org/10.1063/1.1708484"">http://dx.doi.org/10.1063/1.1708484</a>",36
37,CdCr2Se4,CdCr2Se4,ferromagnetic spinel,,,130,0.414757059,1.169042056,6.13561147,3.02,Cr,5.528422909,62.96053194,348.0724471,0.857150914,"<a href=""http://dx.doi.org/10.1063/1.1708484"">http://dx.doi.org/10.1063/1.1708484</a>",37
38,MnB2,MnB2,other,,,157,0.140474043,0.423728343,1.713117253,1.837,Mn,5.6290486,133.2657451,750.1593559,0.608942133,"<a href=""http://dx.doi.org/10.1016/0022-3697(66)90217-4"">http://dx.doi.org/10.1016/0022-3697(66)90217-4</a>",38
39,ZrFe2,ZrFe2,laves,,,633,0.109834122,0.914238116,4.787936802,1.956,Fe,7.849984666,83.67312551,656.8327522,1.013336233,"<a href=""http://dx.doi.org/10.1016/0022-5088(67)90033-1"">http://dx.doi.org/10.1016/0022-5088(67)90033-1</a>",39
40,ScFe2,ScFe2,laves,,,545,0.088862504,1.001322519,3.803354797,1.794,Fe,6.234969796,94.20065582,587.3382438,0.880701075,"<a href=""http://dx.doi.org/10.1063/1.30654"">http://dx.doi.org/10.1063/1.30654</a>",40
41,MnGe4,MnGe4,other,,,340,0.023544668,1.599092433,1.104816258,1.781,Mn,6.682826695,25.21487397,168.5066329,0.31196736,"<a href=""http://dx.doi.org/10.1016/0022-4596(90)90232-M"">http://dx.doi.org/10.1016/0022-4596(90)90232-M</a>",41
42,MnGa2Sb2,MnGa2Sb2,other,,,310,0.064132663,1.846336477,4.850038014,2.868,Mn,6.853522178,34.66303816,237.5639008,0.54356609,"<a href=""http://doi.org/10.2109/jcersj2.117.72"">http://doi.org/10.2109/jcersj2.117.72</a>",42
43,Ni3Pt,Ni3Pt,L12,,,450,0.040505357,0.099014214,0.514933868,0.755,Ni,12.70142691,34.83817138,442.4944875,0.578803625,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",43
44,NiPt,NiPt,L10,,,200,0.014574795,0.089137245,-0.459733171,0.742,Ni,15.84583702,23.42655678,371.2134008,0.5322283,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",44
45,CoPt,CoPt,L10,,,840,0.1632612,0.73882317,3.12483616,1.868,Co,15.73029345,48.97194921,770.3431318,1.1136458,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",45
46,CoPt3,CoPt3,L12,,,400,0.111484475,0.229037056,1.19246895,1.975,Co,18.36286233,25.24885113,463.6411773,0.72804305,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",46
47,FePd,FePd,L10,,,760,0.392369275,0.092557025,0.460675022,2.875,Fe,10.48237497,110.1814128,1154.962883,1.6005897,"<a href=""http://dx.doi.org/10.1016/0956-716X(95)00413-P"">http://dx.doi.org/10.1016/0956-716X(95)00413-P</a>",47
48,FePt,FePt,L10,,,750,0.338870915,1.490591632,7.840729853,2.929,Fe,14.90768697,72.14906851,1075.575729,1.62075745,"<a href=""http://dx.doi.org/10.1016/0956-716X(95)00413-P"">http://dx.doi.org/10.1016/0956-716X(95)00413-P</a>",48
49,MnAl,MnAl,L10,,,650,0.16874414,0.408705296,1.985321628,1.909,Mn,5.353213523,129.8459816,695.0932648,0.95227555,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",49
50,Ni3Mn,Ni3Mn,L12,,,750,0.260136433,0.931605575,4.879612005,3.229,Mn,8.519192678,119.4442931,1017.568947,1.235174825,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",50
51,Fe3Pt,Fe3Pt,L12,,,462,0.193549112,2.072834514,10.96185926,2.765,Fe,11.65131951,127.7879553,1488.898296,2.074197575,"<a href=""http://dx.doi.org/10.1016/0304-8853(89)90212-6"">http://dx.doi.org/10.1016/0304-8853(89)90212-6</a>",51
52,Fe3Pd,Fe3Pd,L12,,,575,0.26905412,2.109746693,11.16048658,2.775,Fe,8.864302925,168.8194038,1496.466335,2.070229175,"<a href=""http://dx.doi.org/10.1109/20.951271"">http://dx.doi.org/10.1109/20.951271</a>",52
53,FePd3,FePd3,L12,,,543,0.351657627,0.741886343,3.879617232,3.299,Fe,10.64716987,63.50723816,676.1723527,1.06633315,"<a href=""http://dx.doi.org/10.1016/0304-8853(89)90212-6"">http://dx.doi.org/10.1016/0304-8853(89)90212-6</a>",53
