,material_name,formula,class,−ΔSm(H = 2T) (J kg⁻¹ K⁻¹),−ΔSm(H = 5T) (J kg⁻¹ K⁻¹),Curie temperature (K),source (experimental),−ΔSm(H = 2T) (J cm⁻³ K⁻¹),−ΔSm(H = 5T) (J cm⁻³ K⁻¹),energy of spin-polarization (eV/atom),"magnetic deformation (Σm), %",largest local moment (µB),gravimetric moment (emu/g),volumetric moment (emu/cm³),moment per atom (µB/atom),element carrying largest moment,average magnetic moment (µB),spin polarization at fermi level (%),nonmag. DOS at fermi level (states/eV/atom),nonmag. DOS at fermi level (states/eV/mag. ion),density (g/cm³),spacegroup number,spacegroup symbol,closest magnetic ion spacing (Å),number of unique magnetic sites,natoms,cid
24,Mn5Ge3,Mn5Ge3,Mn5Si3,3.8,9.4,300.0,"<a href=""http://dx.doi.org/10.1016/S0925-8388(01)01935-1"">http://dx.doi.org/10.1016/S0925-8388(01)01935-1</a>",507.13035557931306,1254.480353275143,0.18827983874999976,2.330442507323326,3.123,152.48372592042728,1142.5822811093822,1.6811782125,Mn,2.6898851400000003,-13.323196429865769,1.9584663155280166,3.1335461048448265,7.493142459711614,193.0,P6_3/mcm,2.4809262199999997,2,16.0,24
25,Mn5PB2,Mn5PB2,boride,2.6,5.0,302.0,"<a href=""http://dx.doi.org/10.1063/1.3518064"">http://dx.doi.org/10.1063/1.3518064</a>",370.8416037572088,713.1569303023247,0.06670419187500087,1.1740270065071747,1.737,138.02182434333798,967.6819959165731,1.01102526875,Mn,1.6176404300000002,34.409520948396164,1.6004024787500035,2.5606439660000055,7.011079592089749,140.0,I4/mcm,2.4937242216051345,2,16.0,25
26,MnAs-h,MnAs,NiAs,20.0,30.0,318.0,"<a href=""http://dx.doi.org/10.1063/1.1419048"">http://dx.doi.org/10.1063/1.1419048</a>",2948.2708781343545,4422.406317201532,0.2097815900000004,3.9734174489695184,2.907,121.48039564562185,824.0789307832787,1.4123009,Mn,2.8246018,-29.861009009941743,0.802097205769203,1.604194411538406,6.783637198443537,194.0,P6_3/mmc,2.757001765,1,4.0,26
27,MnCoGe-o,MnCoGe,Ni2In-TiNiSi,3.0,6.0,235.0,"<a href=""http://dx.doi.org/10.1109/TMAG.2006.884516"">http://dx.doi.org/10.1109/TMAG.2006.884516</a>",355.57817442371874,711.1563488474375,0.16846437833333283,1.9334742153146038,2.693,90.70788651531137,765.2991075365119,1.00973085,Mn,1.514596275,-8.83754131557436,2.2386529979411844,3.357979496911777,8.43696327779978,62.0,Pnma,2.5531625635018824,2,12.0,27
28,MnFeGe-h,MnFeGe,Ni2In-TiNiSi,0.75,1.6,235.0,"<a href=""http://dx.doi.org/10.1109/TMAG.2006.884516"">http://dx.doi.org/10.1109/TMAG.2006.884516</a>",89.6628090963029,191.28065940544616,0.19871694833333345,1.4230148620997287,2.427,83.76263705168562,700.6469953589105,0.9169798833333332,Mn,1.375469825,6.7804421775561865,2.835791641975325,4.253687462962987,8.364672126148289,194.0,P6_3/mmc,2.510517655,2,6.0,28
29,MnFePSi-PRich,MnFeP0.667Si0.333,Fe2P,16.0,,250.0,"<a href=""http://dx.doi.org/10.1016/j.jallcom.2012.11.127"">http://dx.doi.org/10.1016/j.jallcom.2012.11.127</a>",2400.5461950338167,,0.0999050055555557,5.015077360238151,2.932,171.1291012802934,1140.6010957627595,1.4380161,Mn,2.1570241500000003,5.239100200343416,0.5289366206597235,0.7934049309895852,6.6651498034490455,189.0,P-62m,2.6089644947083244,2,9.0,29
30,MnNi2Sn,MnNi2Sn,heusler,1.15,2.1,350.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",131.5420167354873,240.20716099523767,0.35590498500000045,0.9267930087968604,3.596,79.96100533554667,699.0553924742367,1.04169376875,Mn,1.388925025,-16.286674756751065,3.6794485912340815,4.905931454978775,8.742453769068252,225.0,Fm-3m,2.6184294581206426,2,16.0,30
31,MnSi,MnSi,B20,2.2,3.55,31.0,"<a href=""http://dx.doi.org/10.1063/1.2768005"">http://dx.doi.org/10.1063/1.2768005</a>",367.06156672228315,592.3038917564113,0.027106496250000056,0.22965758492405694,1.071,66.89969823620517,400.96634859897085,0.4972471,Mn,0.9944942,-75.25052603111696,1.1099294577765484,2.219858915553097,5.993544951178473,198.0,P2_13,2.768985124857154,1,8.0,31
32,Mn3Sn2,Mn3Sn2,NiAs,1.9,3.5,280.0,"<a href=""http://dx.doi.org/10.1063/1.3074093"">http://dx.doi.org/10.1063/1.3074093</a>",240.12315862404134,442.3321343074446,0.13095590749999958,2.7564748981388276,2.768,107.3447830301001,849.3769985614791,1.546203615,Mn,2.5770060249999998,-21.034744088241425,1.9925627215651946,3.3209378692753244,7.912606226269132,62.0,Pnma,2.6184443503480686,2,20.0,32
33,MnFePAs-AsRich,MnFeP0.333As0.667,Fe2P,12.0,33.0,325.0,"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>",1568.5069178696228,4313.394024141463,0.1957168044444444,5.057420931302533,2.956,141.72027058132016,1084.2433830548157,1.4468524444444446,Mn,2.170278666666667,-56.81558148549845,1.5498616925984297,2.3247925388976447,7.6505878700864365,189.0,P-62m,2.7024810425627463,2,9.0,33
34,Mn3AlC,Mn3AlC,antiperovskite,1.6,3.5,288.0,"<a href=""http://dx.doi.org/10.1088/1674-1056/22/6/067501"">http://dx.doi.org/10.1088/1674-1056/22/6/067501</a>",259.5017500197838,567.6600781682771,0.08885121800000065,0.4331285778669625,1.638,107.02568555981607,659.8841698857549,0.78111072,Mn,1.3018512,-45.70459885021139,1.7437751963185888,2.906291993864315,6.165661695452997,221.0,Pm-3m,2.6872870273021645,1,5.0,34
35,MnSb,MnSb,NiAs,,,600.0,"<a href=""http://dx.doi.org/10.1103/PhysRev.129.2008"">http://dx.doi.org/10.1103/PhysRev.129.2008</a>",,,-0.0018532599999998567,0.028806832057132047,2.404,73.02893258241765,610.1267353888245,1.155243475,Mn,2.31048695,-49.680076602493024,1.7190635791596618,3.4381271583193236,8.354589254063914,194.0,P6_3/mmc,2.4052048,1,4.0,35
36,Fe23Y6,Fe23Y6,other,,,485.0,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91181-9"">http://dx.doi.org/10.1016/0038-1098(76)91181-9</a>",,,0.1494644634482756,1.79050312577753,2.524,152.7528040427641,1066.2848241155084,1.7144738379310345,Fe,1.7144738379310345,-51.04105941877876,1.5694723624418336,1.5694723624418336,6.980459905776887,225.0,Fm-3m,2.4579244533455507,5,29.0,36
37,Fe3Y,Fe3Y,other,,,549.0,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91181-9"">http://dx.doi.org/10.1016/0038-1098(76)91181-9</a>",,,0.10411229083333377,1.2490050284442633,2.144,82.40103408121858,591.3579006594892,0.9458814333333333,Fe,0.9458814333333333,2.3581698474522317,2.628752858077952,2.628752858077952,7.17658348894769,166.0,R-3m,2.4346589205104476,5,12.0,37
38,Co5Y,Co5Y,other,,,921.0,"<a href=""https://books.google.com/books?id=AZVfuxXF2GsC"">https://books.google.com/books?id=AZVfuxXF2GsC</a>",,,0.11325215166666662,0.9767027843816121,1.562,105.23936063213193,812.5321293111682,1.2046211166666667,Co,1.2046211166666667,-86.35036036747546,2.5186642943452364,2.5186642943452364,7.720800700713151,191.0,P6/mmm,2.429449058445108,3,6.0,38
39,Co7La2,Co7La2,other,,,490.0,"<a href=""http://dx.doi.org/10.1063/1.1656420"">http://dx.doi.org/10.1063/1.1656420</a>",,,5.346750000020014e-05,0.02451426771831417,0.436,2.221944452008167,17.462865610258447,0.026427158333333336,Co,0.3171259,10.740808510521138,1.6032781969759478,19.239338363711372,7.85927190685425,166.0,R-3m,4.9212606,1,12.0,39
40,Fe2Y,Fe2Y,laves,,,550.0,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91734-8"">http://dx.doi.org/10.1016/0038-1098(76)91734-8</a>",,,0.16797293500000046,0.9332771140180639,1.992,86.01599559387694,605.4074972806228,1.0298091166666665,Fe,1.0298091166666665,22.85318108921119,2.4261763614516134,2.4261763614516134,7.0383129684279195,227.0,Fd-3m,2.5577169928495747,2,6.0,40
